"View","Feature","Component","Probability"
"covariates","demo_sex_v2","1",0.999999999999923
"covariates","demo_sex_v2","2",0.999999999999923
"covariates","demo_sex_v2","3",0.999999999999923
"covariates","demo_sex_v2","4",0.999999999999923
"covariates","demo_sex_v2","5",0.999999999999923
"covariates","demo_sex_v2","6",0.999999999999923
"covariates","demo_sex_v2","7",0.999999999999923
"covariates","demo_sex_v2","8",0.999999999999923
"covariates","interview_age","1",0.999999999999923
"covariates","interview_age","2",0.999999999999923
"covariates","interview_age","3",0.999999999999923
"covariates","interview_age","4",0.999999999999923
"covariates","interview_age","5",0.999999999999923
"covariates","interview_age","6",0.999999999999923
"covariates","interview_age","7",0.999999999999923
"covariates","interview_age","8",0.999999999999923
"covariates","White_race","1",0.999999999999923
"covariates","White_race","2",0.999999999999923
"covariates","White_race","3",0.999999999999923
"covariates","White_race","4",0.999999999999923
"covariates","White_race","5",0.999999999999923
"covariates","White_race","6",0.999999999999923
"covariates","White_race","7",0.999999999999923
"covariates","White_race","8",0.999999999999923
"covariates","Black_race","1",0.999999999999923
"covariates","Black_race","2",0.999999999999923
"covariates","Black_race","3",0.999999999999923
"covariates","Black_race","4",0.999999999999923
"covariates","Black_race","5",0.999999999999923
"covariates","Black_race","6",0.999999999999923
"covariates","Black_race","7",0.999999999999923
"covariates","Black_race","8",0.999999999999923
"covariates","AIAN_race","1",0.999999999999923
"covariates","AIAN_race","2",0.999999999999923
"covariates","AIAN_race","3",0.999999999999923
"covariates","AIAN_race","4",0.999999999999923
"covariates","AIAN_race","5",0.999999999999923
"covariates","AIAN_race","6",0.999999999999923
"covariates","AIAN_race","7",0.999999999999923
"covariates","AIAN_race","8",0.999999999999923
"covariates","Asian_race","1",0.999999999999923
"covariates","Asian_race","2",0.999999999999923
"covariates","Asian_race","3",0.999999999999923
"covariates","Asian_race","4",0.999999999999923
"covariates","Asian_race","5",0.999999999999923
"covariates","Asian_race","6",0.999999999999923
"covariates","Asian_race","7",0.999999999999923
"covariates","Asian_race","8",0.999999999999923
"covariates","Other_race","1",0.999999999999923
"covariates","Other_race","2",0.999999999999923
"covariates","Other_race","3",0.999999999999923
"covariates","Other_race","4",0.999999999999923
"covariates","Other_race","5",0.999999999999923
"covariates","Other_race","6",0.999999999999923
"covariates","Other_race","7",0.999999999999923
"covariates","Other_race","8",0.999999999999923
"covariates","demo_ethn_v2","1",0.999999999999923
"covariates","demo_ethn_v2","2",0.999999999999923
"covariates","demo_ethn_v2","3",0.999999999999923
"covariates","demo_ethn_v2","4",0.999999999999923
"covariates","demo_ethn_v2","5",0.999999999999923
"covariates","demo_ethn_v2","6",0.999999999999923
"covariates","demo_ethn_v2","7",0.999999999999923
"covariates","demo_ethn_v2","8",0.999999999999923
"covariates","demo_comb_income_v2_bl","1",0.999999999999923
"covariates","demo_comb_income_v2_bl","2",0.999999999999923
"covariates","demo_comb_income_v2_bl","3",0.999999999999923
"covariates","demo_comb_income_v2_bl","4",0.999999999999923
"covariates","demo_comb_income_v2_bl","5",0.999999999999923
"covariates","demo_comb_income_v2_bl","6",0.999999999999923
"covariates","demo_comb_income_v2_bl","7",0.999999999999923
"covariates","demo_comb_income_v2_bl","8",0.999999999999923
"covariates","highest_demo_ed_bl","1",0.999999999999923
"covariates","highest_demo_ed_bl","2",0.999999999999923
"covariates","highest_demo_ed_bl","3",0.999999999999923
"covariates","highest_demo_ed_bl","4",0.999999999999923
"covariates","highest_demo_ed_bl","5",0.999999999999923
"covariates","highest_demo_ed_bl","6",0.999999999999923
"covariates","highest_demo_ed_bl","7",0.999999999999923
"covariates","highest_demo_ed_bl","8",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","1",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","2",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","3",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","4",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","5",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","6",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","7",0.999999999999923
"covariates","demo_prnt_marital_v2_bl","8",0.999999999999923
"sMRI_SA","mrisdp_308","3",0.999999999999923
"sMRI_SA","mrisdp_310","3",0.999999999999923
"sMRI_SA","mrisdp_392","3",0.999999999999923
"fMRI","cgc_dt","1",0.999999999999923
"fMRI","dt_cgc","1",0.999999999999923
"fMRI","dt_dla","1",0.999999999999923
"fMRI","dla_dt","1",0.999999999999923
"fMRI","dla_dla","1",0.999999999999923
"fMRI","dla_n","1",0.999999999999923
"fMRI","n_dla","1",0.999999999999923
"sMRI_SA","mrisdp_382","3",0.999799999999923
"fMRI","dt_dt","1",0.999799999999923
"sMRI_SA","mrisdp_318","3",0.999599999999923
"sMRI_SA","mrisdp_321","7",0.999599999999923
"sMRI_SA","mrisdp_344","7",0.999599999999923
"sMRI_SA","mrisdp_383","3",0.999599999999923
"sMRI_SA","mrisdp_387","7",0.999599999999923
"sMRI_SA","mrisdp_313","7",0.999399999999923
"sMRI_SA","mrisdp_322","7",0.999399999999923
"sMRI_CT","mrisdp_131","2",0.999399999999923
"sMRI_SA","mrisdp_309","3",0.999199999999923
"sMRI_CT","mrisdp_139","2",0.999199999999923
"sMRI_SA","mrisdp_396","7",0.998999999999923
"sMRI_SA","mrisdp_333","3",0.998799999999923
"sMRI_SA","mrisdp_395","7",0.998799999999923
"sMRI_SA","mrisdp_350","3",0.998399999999923
"sMRI_SA","mrisdp_377","3",0.998399999999923
"sMRI_SA","mrisdp_367","7",0.998199999999923
"sMRI_SA","mrisdp_384","3",0.998199999999923
"sMRI_SA","mrisdp_433","7",0.998199999999923
"sMRI_CT","mrisdp_85","2",0.998199999999923
"fMRI","n_dt","1",0.997999999999923
"sMRI_SA","mrisdp_304","7",0.997399999999923
"sMRI_CT","mrisdp_127","2",0.997399999999923
"sMRI_SA","mrisdp_400","3",0.997199999999923
"fMRI","dt_n","1",0.997199999999923
"sMRI_SA","mrisdp_418","7",0.996799999999923
"sMRI_SA","mrisdp_326","3",0.996599999999923
"sMRI_SA","mrisdp_420","7",0.996199999999923
"sMRI_SA","mrisdp_346","7",0.995999999999923
"sMRI_SA","mrisdp_434","7",0.995999999999923
"sMRI_CT","mrisdp_147","2",0.995999999999923
"sMRI_SA","mrisdp_440","3",0.995799999999923
"sMRI_CT","mrisdp_52","2",0.995599999999923
"sMRI_SA","mrisdp_317","3",0.994999999999923
"sMRI_CT","mrisdp_119","2",0.994999999999923
"sMRI_CT","mrisdp_11","2",0.994399999999923
"sMRI_CT","mrisdp_86","2",0.994399999999923
"sMRI_SA","mrisdp_345","3",0.993599999999923
"sMRI_CT","mrisdp_98","2",0.993599999999923
"sMRI_SA","mrisdp_359","7",0.993399999999923
"sMRI_SA","mrisdp_320","3",0.993199999999923
"sMRI_SA","mrisdp_381","3",0.992799999999923
"sMRI_CT","mrisdp_141","2",0.992599999999923
"sMRI_SA","mrisdp_424","3",0.992199999999923
"sMRI_CT","mrisdp_115","2",0.992199999999923
"sMRI_CT","mrisdp_130","2",0.991999999999923
"sMRI_SA","mrisdp_316","7",0.991599999999923
"sMRI_CT","mrisdp_65","2",0.991399999999923
"sMRI_CT","mrisdp_6","2",0.991199999999923
"sMRI_CT","mrisdp_75","2",0.990999999999923
"sMRI_CT","mrisdp_118","2",0.990999999999923
"sMRI_SA","mrisdp_429","3",0.990599999999924
"sMRI_SA","mrisdp_366","3",0.990199999999924
"sMRI_CT","mrisdp_58","2",0.989599999999924
"sMRI_CT","mrisdp_4","2",0.989399999999924
"sMRI_CT","mrisdp_37","2",0.989199999999924
"sMRI_CT","mrisdp_54","2",0.989199999999924
"sMRI_CT","mrisdp_79","2",0.988999999999924
"sMRI_CT","mrisdp_78","2",0.988799999999924
"sMRI_CT","mrisdp_132","2",0.985399999999924
"sMRI_CT","mrisdp_46","2",0.984799999999924
"sMRI_SA","mrisdp_356","3",0.983999999999924
"sMRI_SA","mrisdp_365","3",0.983799999999924
"sMRI_CT","mrisdp_120","2",0.983799999999924
"sMRI_SA","mrisdp_393","3",0.982599999999924
"sMRI_CT","mrisdp_114","2",0.982399999999924
"sMRI_CT","mrisdp_107","2",0.982199999999924
"sMRI_CT","mrisdp_121","2",0.981199999999925
"sMRI_CT","mrisdp_1","2",0.980999999999925
"sMRI_SA","mrisdp_368","3",0.980399999999925
"sMRI_SA","mrisdp_428","7",0.978199999999925
"sMRI_SA","mrisdp_319","3",0.977599999999925
"sMRI_SA","mrisdp_441","7",0.976999999999925
"sMRI_SA","mrisdp_449","3",0.975599999999925
"sMRI_SA","mrisdp_430","3",0.975199999999925
"sMRI_CT","mrisdp_24","2",0.971599999999926
"sMRI_CT","mrisdp_117","2",0.970799999999926
"sMRI_CT","mrisdp_16","2",0.969599999999926
"sMRI_SA","mrisdp_349","3",0.969199999999926
"sMRI_SA","mrisdp_405","3",0.967999999999926
"sMRI_SA","mrisdp_407","3",0.967399999999926
"sMRI_SA","mrisdp_391","3",0.965999999999926
"sMRI_CT","mrisdp_5","2",0.965199999999926
"sMRI_SA","mrisdp_378","7",0.964199999999926
"sMRI_CT","mrisdp_104","2",0.955199999999927
"sMRI_CT","mrisdp_60","2",0.951599999999928
"sMRI_CT","mrisdp_35","2",0.945799999999928
"sMRI_CT","mrisdp_87","2",0.945199999999929
"sMRI_CT","mrisdp_123","2",0.944799999999929
"sMRI_SA","mrisdp_410","3",0.943799999999929
"sMRI_SA","mrisdp_425","3",0.942599999999929
"sMRI_CT","mrisdp_45","2",0.938399999999929
"sMRI_CT","mrisdp_109","2",0.937999999999929
"sMRI_CT","mrisdp_28","2",0.93159999999993
"sMRI_SA","mrisdp_334","3",0.92959999999993
"sMRI_CT","mrisdp_126","2",0.922199999999931
"sMRI_CT","mrisdp_68","2",0.918599999999931
"sMRI_SA","mrisdp_394","3",0.915599999999932
"sMRI_CT","mrisdp_102","2",0.909799999999932
"sMRI_CT","mrisdp_41","2",0.907799999999933
"sMRI_CT","mrisdp_73","2",0.905799999999933
"sMRI_CT","mrisdp_72","2",0.890799999999935
"sMRI_SA","mrisdp_379","3",0.888199999999935
"sMRI_SA","mrisdp_355","3",0.884199999999935
"sMRI_CT","mrisdp_19","4",0.881399999999936
"sMRI_CT","mrisdp_99","4",0.878199999999936
"sMRI_CT","mrisdp_90","2",0.876999999999936
"sMRI_SA","mrisdp_442","3",0.874999999999936
"sMRI_CT","mrisdp_25","4",0.872799999999937
"sMRI_CT","mrisdp_12","4",0.869799999999937
"sMRI_CT","mrisdp_93","4",0.868999999999937
"sMRI_SA","mrisdp_421","3",0.866999999999937
"sMRI_CT","mrisdp_112","4",0.866599999999937
"sMRI_CT","mrisdp_27","4",0.864599999999937
"sMRI_CT","mrisdp_108","4",0.864199999999937
"sMRI_CT","mrisdp_38","4",0.863199999999938
"sMRI_CT","mrisdp_76","4",0.863199999999938
"sMRI_CT","mrisdp_56","2",0.861799999999938
"sMRI_SA","mrisdp_303","3",0.861599999999938
"sMRI_CT","mrisdp_101","4",0.861399999999938
"sMRI_CT","mrisdp_20","4",0.860999999999938
"sMRI_SA","mrisdp_324","7",0.860399999999938
"sMRI_CT","mrisdp_34","4",0.859799999999938
"sMRI_CT","mrisdp_71","4",0.856999999999938
"sMRI_CT","mrisdp_26","4",0.855599999999938
"sMRI_CT","mrisdp_95","4",0.854999999999938
"sMRI_CT","mrisdp_13","2",0.853999999999939
"sMRI_CT","mrisdp_116","4",0.853199999999939
"sMRI_SA","mrisdp_445","3",0.851199999999939
"sMRI_SA","mrisdp_336","3",0.84539999999994
"sMRI_SA","mrisdp_390","7",0.84359999999994
"fMRI","cgc_n","1",0.84099999999994
"sMRI_CT","mrisdp_128","2",0.84039999999994
"sMRI_CT","mrisdp_133","2",0.83879999999994
"fMRI","n_cgc","1",0.83699999999994
"sMRI_CT","mrisdp_100","4",0.831999999999941
"sMRI_CT","mrisdp_88","4",0.826199999999942
"sMRI_CT","mrisdp_15","4",0.825999999999942
"sMRI_CT","mrisdp_53","2",0.823199999999942
"sMRI_CT","mrisdp_29","4",0.818999999999942
"fMRI","cgc_cgc","1",0.814999999999943
"fMRI","dla_vta","1",0.803799999999944
"sMRI_CT","mrisdp_36","4",0.803199999999944
"sMRI_SA","mrisdp_397","3",0.802799999999944
"sMRI_SA","mrisdp_414","3",0.802199999999944
"sMRI_CT","mrisdp_42","4",0.799599999999945
"sMRI_CT","mrisdp_89","4",0.797599999999945
"sMRI_CT","mrisdp_111","4",0.796399999999945
"sMRI_CT","mrisdp_94","4",0.793599999999945
"sMRI_SA","mrisdp_369","3",0.791799999999945
"fMRI","vta_dla","1",0.789399999999946
"sMRI_SA","mrisdp_362","3",0.779199999999947
"sMRI_CT","mrisdp_146","4",0.776599999999947
"sMRI_SA","mrisdp_398","7",0.775199999999947
"sMRI_CT","mrisdp_64","2",0.774599999999947
"fMRI","vs_dt","1",0.771599999999948
"sMRI_SA","mrisdp_364","7",0.770599999999948
"fMRI","dt_vs","1",0.764199999999948
"sMRI_CT","mrisdp_30","2",0.763399999999949
"fMRI","n_vs","1",0.759399999999949
"fMRI","vs_n","1",0.758399999999949
"sMRI_SA","mrisdp_435","7",0.754999999999949
"sMRI_CT","mrisdp_8","2",0.74999999999995
"fMRI","dla_cgc","1",0.74899999999995
"sMRI_SA","mrisdp_415","3",0.74659999999995
"fMRI","cgc_dla","1",0.744399999999951
"sMRI_SA","mrisdp_354","7",0.739799999999951
"sMRI_CT","mrisdp_96","2",0.733999999999952
"sMRI_CT","mrisdp_92","2",0.733599999999952
"sMRI_CT","mrisdp_122","2",0.733399999999952
"sMRI_SA","mrisdp_422","3",0.731599999999952
"sMRI_CT","mrisdp_67","2",0.721599999999953
"sMRI_CT","mrisdp_22","2",0.718799999999953
"fMRI","vs_vs","1",0.713399999999954
"sMRI_CT","mrisdp_138","2",0.704599999999955
"sMRI_SA","mrisdp_437","3",0.699799999999956
"sMRI_SA","mrisdp_305","3",0.684199999999957
"sMRI_SA","mrisdp_439","3",0.679999999999958
"sMRI_CT","mrisdp_142","2",0.674999999999958
"fMRI","rspltp_cgc","1",0.672999999999959
"sMRI_SA","mrisdp_375","3",0.671399999999959
"sMRI_CT","mrisdp_57","2",0.671399999999959
"fMRI","cgc_rspltp","1",0.670599999999959
"sMRI_CT","mrisdp_110","2",0.669599999999959
"sMRI_CT","mrisdp_103","4",0.667999999999959
"sMRI_CT","mrisdp_33","2",0.66239999999996
"sMRI_CT","mrisdp_129","4",0.66159999999996
"sMRI_SA","mrisdp_372","3",0.66039999999996
"sMRI_SA","mrisdp_351","3",0.650999999999961
"sMRI_CT","mrisdp_47","2",0.648799999999961
"sMRI_CT","mrisdp_49","2",0.646599999999961
"sMRI_CT","mrisdp_81","2",0.634999999999963
"sMRI_CT","mrisdp_77","2",0.628599999999963
"sMRI_CT","mrisdp_21","2",0.627399999999964
"sMRI_CT","mrisdp_145","4",0.625999999999964
"sMRI_CT","mrisdp_2","2",0.625399999999964
"sMRI_SA","mrisdp_347","3",0.624999999999964
"sMRI_SA","mrisdp_339","3",0.620799999999964
"sMRI_SA","mrisdp_408","3",0.618399999999965
"sMRI_SA","mrisdp_376","3",0.615399999999965
"sMRI_SA","mrisdp_373","3",0.613599999999965
"sMRI_SA","mrisdp_448","7",0.612799999999965
"sMRI_SA","mrisdp_323","3",0.608799999999966
"sMRI_SA","mrisdp_353","7",0.595999999999967
"sMRI_CT","mrisdp_43","4",0.591199999999968
"sMRI_CT","mrisdp_80","2",0.590999999999968
"sMRI_SA","mrisdp_331","3",0.583199999999968
"sMRI_SA","mrisdp_374","3",0.582999999999968
"sMRI_CT","mrisdp_44","2",0.578199999999969
"sMRI_CT","mrisdp_83","2",0.575599999999969
"sMRI_CT","mrisdp_14","4",0.574399999999969
"sMRI_SA","mrisdp_413","7",0.56779999999997
"sMRI_CT","mrisdp_7","2",0.56639999999997
"fMRI","dla_vs","1",0.563199999999971
"sMRI_SA","mrisdp_363","3",0.561999999999971
"fMRI","vs_dla","1",0.558199999999971
"sMRI_CT","mrisdp_3","2",0.555599999999971
"sMRI_CT","mrisdp_69","4",0.528199999999974
"sMRI_SA","mrisdp_402","8",0.525399999999975
"sMRI_SA","mrisdp_358","8",0.523599999999975
"sMRI_SA","mrisdp_432","8",0.521999999999975
"sMRI_CT","mrisdp_7","4",0.518599999999976
"sMRI_SA","mrisdp_341","3",0.515999999999976
"sMRI_SA","mrisdp_328","8",0.509999999999976
"sMRI_SA","mrisdp_403","8",0.507599999999977
"sMRI_SA","mrisdp_417","8",0.506799999999977
"fMRI","n_n","1",0.502199999999977
"sMRI_SA","mrisdp_406","8",0.501599999999977
"sMRI_SA","mrisdp_399","3",0.501199999999977
"sMRI_SA","mrisdp_330","3",0.500999999999977
